 # material = aluminum                
 # eff mass density (g/cc) =    2.70000000000000     
 # Zbar =    4.35322408794477     
#  All densities are *4*pi*r^2
#            r(a_B)                    ne_pa                     ne_scr                    ne_ion                   ne_full                   ne_ext 
        0.26513491779E-002        0.11478280142E+000        0.20100896737E-003        0.11458179245E+000        0.11478430531E+000        0.15038883946E-005
        0.27002209454E-002        0.11890221651E+000        0.20822051439E-003        0.11869399600E+000        0.11890377635E+000        0.15598411173E-005
        0.27495390304E-002        0.12312733333E+000        0.21561696237E-003        0.12291171636E+000        0.12312895067E+000        0.16173408131E-005
        0.27993034330E-002        0.12745972140E+000        0.22320104959E-003        0.12723652035E+000        0.12746139782E+000        0.16764157364E-005
        0.28495141530E-002        0.13190095227E+000        0.23097551751E-003        0.13166997675E+000        0.13190268936E+000        0.17370943972E-005
        0.29001711906E-002        0.13645259917E+000        0.23894311023E-003        0.13621365606E+000        0.13645439858E+000        0.17994055612E-005
        0.29512745457E-002        0.14111623678E+000        0.24710657396E-003        0.14086913021E+000        0.14111810016E+000        0.18633782498E-005
        0.30028242183E-002        0.14589344091E+000        0.25546865659E-003        0.14563797225E+000        0.14589536995E+000        0.19290417401E-005
        0.30548202084E-002        0.15078578821E+000        0.26403210712E-003        0.15052175610E+000        0.15078778464E+000        0.19964255650E-005
        0.31072625160E-002        0.15579485594E+000        0.27279967521E-003        0.15552205626E+000        0.15579692150E+000        0.20655595129E-005
        0.31601511411E-002        0.16092222162E+000        0.28177411060E-003        0.16064044751E+000        0.16092435809E+000        0.21364736280E-005
        0.32134860838E-002        0.16616946279E+000        0.29095816268E-003        0.16587850462E+000        0.16617167199E+000        0.22091982103E-005
        0.32672673439E-002        0.17153815670E+000        0.30035457997E-003        0.17123780212E+000        0.17154044046E+000        0.22837638154E-005
        0.33214949216E-002        0.17702988004E+000        0.30996610955E-003        0.17671991393E+000        0.17703224024E+000        0.23602012546E-005
        0.33761688167E-002        0.18264620864E+000        0.31979549664E-003        0.18232641315E+000        0.18264864718E+000        0.24385415949E-005
        0.34312890294E-002        0.18838871721E+000        0.32984548402E-003        0.18805887173E+000        0.18839123603E+000        0.25188161590E-005
        0.34868555596E-002        0.19425897901E+000        0.34011881159E-003        0.19391886020E+000        0.19426158007E+000        0.26010565254E-005
        0.35428684073E-002        0.20025856561E+000        0.35061821580E-003        0.19990794739E+000        0.20026125090E+000        0.26852945280E-005
        0.35993275726E-002        0.20638904657E+000        0.36134642917E-003        0.20602770014E+000        0.20639181814E+000        0.27715622569E-005
        0.36562330553E-002        0.21265198919E+000        0.37230617979E-003        0.21227968301E+000        0.21265484908E+000        0.28598920575E-005
        0.37135848555E-002        0.21904895818E+000        0.38350019082E-003        0.21866545799E+000        0.21905190850E+000        0.29503165309E-005
        0.37713829733E-002        0.22558151541E+000        0.39493117993E-003        0.22518658424E+000        0.22558455828E+000        0.30428685342E-005
        0.38296274086E-002        0.23225121962E+000        0.40660185886E-003        0.23184461776E+000        0.23225435720E+000        0.31375811800E-005
        0.38883181613E-002        0.23905962609E+000        0.41851493288E-003        0.23864111116E+000        0.23906286058E+000        0.32344878366E-005
        0.39474552316E-002        0.24600828644E+000        0.43067310028E-003        0.24557761334E+000        0.24601162006E+000        0.33336221280E-005
        0.40070386194E-002        0.25309874826E+000        0.44307905188E-003        0.25265566921E+000        0.25310218328E+000        0.34350179340E-005
        0.40670683247E-002        0.26033255489E+000        0.45573547051E-003        0.25987681942E+000        0.26033609360E+000        0.35387093900E-005
        0.41275443476E-002        0.26771124510E+000        0.46864503054E-003        0.26724260007E+000        0.26771488983E+000        0.36447308872E-005
        0.41884666879E-002        0.27523635280E+000        0.48181039732E-003        0.27475454241E+000        0.27524010592E+000        0.37531170724E-005
        0.42498353458E-002        0.28290940680E+000        0.49523422674E-003        0.28241417258E+000        0.28291327071E+000        0.38639028481E-005
        0.43116503211E-002        0.29073193049E+000        0.50891916468E-003        0.29022301132E+000        0.29073590761E+000        0.39771233727E-005
        0.43739116140E-002        0.29870544155E+000        0.52286784654E-003        0.29818257370E+000        0.29870953436E+000        0.40928140601E-005
        0.44366192244E-002        0.30683145172E+000        0.53708289671E-003        0.30629436883E+000        0.30683566273E+000        0.42110105799E-005
        0.44997731523E-002        0.31511146648E+000        0.55156692814E-003        0.31455989955E+000        0.31511579822E+000        0.43317488576E-005
        0.45633733977E-002        0.32354698475E+000        0.56632254175E-003        0.32298066221E+000        0.32355143982E+000        0.44550650743E-005
        0.46274199606E-002        0.33213949869E+000        0.58135232600E-003        0.33155814636E+000        0.33214407968E+000        0.45809956667E-005
        0.46919128410E-002        0.34089049332E+000        0.59665885639E-003        0.34029383447E+000        0.34089520290E+000        0.47095773272E-005
        0.47568520390E-002        0.34980144634E+000        0.61224469494E-003        0.34918920164E+000        0.34980628718E+000        0.48408470043E-005
        0.48222375544E-002        0.35887382776E+000        0.62811238974E-003        0.35824571537E+000        0.35887880260E+000        0.49748419016E-005
        0.48880693874E-002        0.36810909972E+000        0.64426447441E-003        0.36746483525E+000        0.36811421132E+000        0.51115994790E-005
        0.49543475379E-002        0.37750871614E+000        0.66070346768E-003        0.37684801267E+000        0.37751396730E+000        0.52511574516E-005
        0.50210720059E-002        0.38707412248E+000        0.67743187284E-003        0.38639669061E+000        0.38707951604E+000        0.53935537906E-005
        0.50882427914E-002        0.39680675547E+000        0.69445217729E-003        0.39611230329E+000        0.39681229430E+000        0.55388267226E-005
        0.51558598944E-002        0.40670804282E+000        0.71176685206E-003        0.40599627597E+000        0.40671372984E+000        0.56870147302E-005
        0.52239233149E-002        0.41677940297E+000        0.72937835134E-003        0.41605002462E+000        0.41678524113E+000        0.58381565516E-005
        0.52924330529E-002        0.42702224482E+000        0.74728911198E-003        0.42627495571E+000        0.42702823711E+000        0.59922911805E-005
        0.53613891085E-002        0.43743796743E+000        0.76550155302E-003        0.43667246587E+000        0.43744411688E+000        0.61494578666E-005
        0.54307914815E-002        0.44802795980E+000        0.78401807524E-003        0.44724394172E+000        0.44803426949E+000        0.63096961152E-005
        0.55006401721E-002        0.45879360058E+000        0.80284106066E-003        0.45799075952E+000        0.45880007363E+000        0.64730456873E-005
        0.55709351802E-002        0.46973625781E+000        0.82197287212E-003        0.46891428494E+000        0.46974289736E+000        0.66395465997E-005
        0.56416765058E-002        0.48085728866E+000        0.84141585276E-003        0.48001587281E+000        0.48086409790E+000        0.68092391247E-005
        0.57128641489E-002        0.49215803916E+000        0.86117232558E-003        0.49129686684E+000        0.49216502133E+000        0.69821637906E-005
        0.57844981095E-002        0.50363984396E+000        0.88124459302E-003        0.50275859937E+000        0.50364700232E+000        0.71583613811E-005
