# Time-averaged data for fix myRDFav
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
5300 100
85 8.94309 0.986548 182.599
86 9.04893 0.995771 189.131
87 9.15476 0.996697 195.823
88 9.2606 1.0017 202.704
89 9.36643 0.994605 209.695
90 9.47227 1.00084 216.888
91 9.5781 1.00059 224.242
92 9.68394 1.00931 231.825
93 9.78977 1.00527 239.543
94 9.89561 1.00262 247.408
95 10.0014 1.00927 255.496
96 10.1073 1.00845 263.749
97 10.2131 1.00178 272.12
98 10.319 1.00378 280.682
99 10.4248 1.0017 289.403
100 10.5306 1.00151 298.3
5700 100
1 0.0529177 0 0
2 0.158753 0 0
3 0.264588 0 0
4 0.370424 0 0
5 0.476259 0 0
6 0.582095 0 0
7 0.68793 0 0
8 0.793766 0 0
9 0.899601 0 0
10 1.00544 0 0
11 1.11127 0 0
12 1.21711 0 0
13 1.32294 0 0
14 1.42878 0 0
15 1.53461 0 0
16 1.64045 0.00138183 0.000298
17 1.74628 0.00744773 0.002118
18 1.85212 0.0403888 0.01322
19 1.95795 0.175219 0.067044
20 2.06379 0.384851 0.198386
21 2.16963 0.730297 0.473834
22 2.27546 1.03714 0.904102
23 2.3813 1.37332 1.52806
24 2.48713 1.6295 2.33567
25 2.59297 1.67469 3.2378
26 2.6988 1.70161 4.23079
27 2.80464 1.61683 5.24974
28 2.91047 1.50101 6.26844
29 3.01631 1.31569 7.22747
30 3.12214 1.17794 8.1474
31 3.22798 1.0786 9.04782
32 3.33382 0.981546 9.92182
33 3.43965 0.901726 10.7765
34 3.54549 0.848598 11.6312
35 3.65132 0.80787 12.494
36 3.75716 0.790882 13.3885
37 3.86299 0.772545 14.3121
38 3.96883 0.802908 15.3253
39 4.07466 0.814488 16.4086
40 4.1805 0.840988 17.5861
41 4.28633 0.876547 18.8763
42 4.39217 0.940664 20.3301
43 4.498 0.990233 21.9351
44 4.60384 1.01714 23.6622
45 4.70968 1.05086 25.5296
46 4.81551 1.08258 27.5408
47 4.92135 1.10847 29.6915
48 5.02718 1.10377 31.9263
49 5.13302 1.102 34.2524
50 5.23885 1.09275 36.655
51 5.34469 1.06486 39.0919
52 5.45052 1.05121 41.5938
53 5.55636 1.03286 44.1484
54 5.66219 1.02844 46.7898
55 5.76803 0.979249 49.3999
56 5.87386 0.98304 52.117
57 5.9797 0.968522 54.8914
58 6.08554 0.956013 57.7277
59 6.19137 0.95614 60.6639
60 6.29721 0.95381 63.694
61 6.40304 0.953009 66.8242
62 6.50888 0.969495 70.1146
63 6.61471 0.973869 73.5282
64 6.72055 0.970607 77.0401
65 6.82638 0.980002 80.6986
66 6.93222 1.00368 84.5626
67 7.03805 1.01301 88.5825
68 7.14389 1.01293 92.7238
69 7.24972 1.02313 97.0317
70 7.35556 1.01974 101.452
71 7.4614 1.02179 106.009
72 7.56723 1.02321 110.703
73 7.67307 1.01528 115.491
74 7.7789 1.01766 120.424
75 7.88474 1.01833 125.496
76 7.99057 1.00728 130.648
77 8.09641 0.990879 135.852
78 8.20224 1.00184 141.251
79 8.30808 0.999135 146.776
80 8.41391 0.992844 152.407
81 8.51975 0.988545 158.155
82 8.62559 0.987755 164.043
83 8.73142 0.993016 170.107
84 8.83726 0.98904 176.295
85 8.94309 0.984655 182.604
86 9.04893 0.993012 189.118
87 9.15476 0.998023 195.819
88 9.2606 0.999689 202.687
89 9.36643 0.997186 209.695
90 9.47227 1.00511 216.92
91 9.5781 0.998536 224.258
