 # atomic units 
 #
 # material = aluminum                
 # nfraction =    1.00000000000000     
 # Zbar =    3.31556914295421     
 #
 # screening length =   1.15966433863224     
# r     (v(i,j),j=i,nspecies, i=1,nspecies)     (dv/dr(i,j),j=i,nspecies, i=1,nspecies)
        0.80065972271E+000        0.93632418753E+001       -0.16476442254E+002
        0.80431570318E+000        0.93032878158E+001       -0.16322673411E+002
        0.80797168365E+000        0.92438886029E+001       -0.16170977600E+002
        0.81162766412E+000        0.91850437508E+001       -0.16021317411E+002
        0.81528364459E+000        0.91267389232E+001       -0.15873656273E+002
        0.81893962506E+000        0.90689737761E+001       -0.15727958464E+002
        0.82259560553E+000        0.90117343583E+001       -0.15584189053E+002
        0.82625158600E+000        0.89550204589E+001       -0.15442313831E+002
        0.82990756646E+000        0.88988184976E+001       -0.15302299420E+002
        0.83356354693E+000        0.88431283884E+001       -0.15164113123E+002
        0.83721952740E+000        0.87879369078E+001       -0.15027722973E+002
        0.84087550787E+000        0.87332440875E+001       -0.14893097727E+002
        0.84453148834E+000        0.86790370469E+001       -0.14760206753E+002
        0.84818746881E+000        0.86253159287E+001       -0.14629020147E+002
        0.85184344928E+000        0.85720681826E+001       -0.14499508645E+002
        0.85549942975E+000        0.85192940552E+001       -0.14371643544E+002
        0.85915541022E+000        0.84669813146E+001       -0.14245396824E+002
        0.86281139069E+000        0.84151303052E+001       -0.14120741032E+002
        0.86646737115E+000        0.83637291018E+001       -0.13997649311E+002
        0.87012335162E+000        0.83127781405E+001       -0.13876095331E+002
        0.87377933209E+000        0.82622657919E+001       -0.13756053356E+002
        0.87743531256E+000        0.82121925783E+001       -0.13637498186E+002
        0.88109129303E+000        0.81625471554E+001       -0.13520405093E+002
        0.88474727350E+000        0.81133301268E+001       -0.13404749957E+002
        0.88840325397E+000        0.80645304229E+001       -0.13290509057E+002
        0.89205923444E+000        0.80161487236E+001       -0.13177659207E+002
        0.89571521491E+000        0.79681742246E+001       -0.13066177711E+002
        0.89937119538E+000        0.79206076774E+001       -0.12956042319E+002
        0.90302717584E+000        0.78734385338E+001       -0.12847231195E+002
        0.90668315631E+000        0.78266676125E+001       -0.12739723024E+002
        0.91033913678E+000        0.77802846125E+001       -0.12633496848E+002
        0.91399511725E+000        0.77342904156E+001       -0.12528532169E+002
        0.91765109772E+000        0.76886749597E+001       -0.12424808910E+002
        0.92130707819E+000        0.76434391855E+001       -0.12322307319E+002
        0.92496305866E+000        0.75985732623E+001       -0.12221008152E+002
        0.92861903913E+000        0.75540781855E+001       -0.12120892445E+002
        0.93227501960E+000        0.75099443480E+001       -0.12021941656E+002
        0.93593100007E+000        0.74661727970E+001       -0.11924137607E+002
        0.93958698053E+000        0.74227541411E+001       -0.11827462447E+002
        0.94324296100E+000        0.73796894762E+001       -0.11731898701E+002
        0.94689894147E+000        0.73369696196E+001       -0.11637429218E+002
        0.95055492194E+000        0.72945957126E+001       -0.11544037195E+002
        0.95421090241E+000        0.72525587745E+001       -0.11451706130E+002
        0.95786688288E+000        0.72108599891E+001       -0.11360419833E+002
        0.96152286335E+000        0.71694905713E+001       -0.11270162480E+002
        0.96517884382E+000        0.71284517443E+001       -0.11180918459E+002
        0.96883482429E+000        0.70877349126E+001       -0.11092672526E+002
        0.97249080476E+000        0.70473413362E+001       -0.11005409707E+002
        0.97614678522E+000        0.70072626031E+001       -0.10919115288E+002
        0.97980276569E+000        0.69675000077E+001       -0.10833774844E+002
        0.98345874616E+000        0.69280453157E+001       -0.10749374243E+002
        0.98711472663E+000        0.68888998536E+001       -0.10665899577E+002
        0.99077070710E+000        0.68500555592E+001       -0.10583337209E+002
        0.99442668757E+000        0.68115137890E+001       -0.10501673777E+002
        0.99808266804E+000        0.67732666476E+001       -0.10420896147E+002
        0.10017386485E+001        0.67353155192E+001       -0.10340991404E+002
        0.10053946290E+001        0.66976526703E+001       -0.10261946906E+002
        0.10090506094E+001        0.66602795108E+001       -0.10183750245E+002
        0.10127065899E+001        0.66231884641E+001       -0.10106389188E+002
        0.10163625704E+001        0.65863809642E+001       -0.10029851774E+002
        0.10200185509E+001        0.65498495865E+001       -0.99541262359E+001
        0.10236745313E+001        0.65135957871E+001       -0.98792010275E+001
        0.10273305118E+001        0.64776122891E+001       -0.98050647852E+001
        0.10309864923E+001        0.64419005692E+001       -0.97317063986E+001
        0.10346424727E+001        0.64064534936E+001       -0.96591148976E+001
