   r/R       V       Vcoul       Vexc       Vkin       Vinh       rV         ne        y        dNe    dNe(free) dNe(bound)    eta    n0*Ine
1.4400e-02 7.281e+03 7.097e+03 1.837e+02 +6.999e+03 +2.894e+02 1.126e+01 2.660e+33 1.178e+05 1.743e+11 1.000e-20 +1.744e+11 6.999e+03 1.001e+00 
1.4884e-02 7.016e+03 6.836e+03 1.804e+02 +6.756e+03 +2.673e+02 1.121e+01 2.523e+33 1.186e+05 1.767e+11 1.000e-20 +1.768e+11 6.756e+03 1.001e+00 
1.5376e-02 6.765e+03 6.588e+03 1.772e+02 +6.525e+03 +2.472e+02 1.116e+01 2.394e+33 1.193e+05 1.789e+11 1.000e-20 +1.790e+11 6.525e+03 1.001e+00 
1.5876e-02 6.525e+03 6.351e+03 1.740e+02 +6.303e+03 +2.290e+02 1.111e+01 2.273e+33 1.201e+05 1.811e+11 1.000e-20 +1.812e+11 6.303e+03 1.001e+00 
1.6384e-02 6.297e+03 6.126e+03 1.710e+02 +6.091e+03 +2.125e+02 1.106e+01 2.160e+33 1.208e+05 1.833e+11 1.000e-20 +1.834e+11 6.091e+03 1.001e+00 
1.6900e-02 6.079e+03 5.911e+03 1.680e+02 +5.889e+03 +1.974e+02 1.100e+01 2.053e+33 1.214e+05 1.853e+11 1.000e-20 +1.855e+11 5.889e+03 1.001e+00 
1.7424e-02 5.872e+03 5.707e+03 1.651e+02 +5.695e+03 +1.836e+02 1.095e+01 1.952e+33 1.221e+05 1.874e+11 1.000e-20 +1.875e+11 5.695e+03 1.001e+00 
1.7956e-02 5.674e+03 5.511e+03 1.623e+02 +5.509e+03 +1.711e+02 1.090e+01 1.858e+33 1.227e+05 1.893e+11 1.000e-20 +1.894e+11 5.509e+03 1.000e+00 
1.8496e-02 5.484e+03 5.325e+03 1.595e+02 +5.332e+03 +1.596e+02 1.085e+01 1.768e+33 1.234e+05 1.913e+11 1.000e-20 +1.913e+11 5.332e+03 1.000e+00 
1.9044e-02 5.303e+03 5.146e+03 1.569e+02 +5.161e+03 +1.490e+02 1.080e+01 1.684e+33 1.240e+05 1.931e+11 1.000e-20 +1.931e+11 5.161e+03 1.000e+00 
1.9600e-02 5.130e+03 4.976e+03 1.542e+02 +4.998e+03 +1.394e+02 1.074e+01 1.605e+33 1.245e+05 1.949e+11 1.000e-20 +1.949e+11 4.998e+03 1.000e+00 
2.0164e-02 4.964e+03 4.813e+03 1.517e+02 +4.841e+03 +1.305e+02 1.069e+01 1.530e+33 1.251e+05 1.967e+11 1.000e-20 +1.966e+11 4.841e+03 9.998e-01 
2.0736e-02 4.806e+03 4.657e+03 1.492e+02 +4.691e+03 +1.223e+02 1.064e+01 1.459e+33 1.256e+05 1.984e+11 1.000e-20 +1.983e+11 4.691e+03 9.997e-01 
2.1316e-02 4.654e+03 4.507e+03 1.468e+02 +4.546e+03 +1.147e+02 1.058e+01 1.392e+33 1.262e+05 2.000e+11 1.000e-20 +1.999e+11 4.546e+03 9.996e-01 
2.1904e-02 4.508e+03 4.364e+03 1.445e+02 +4.407e+03 +1.078e+02 1.053e+01 1.329e+33 1.267e+05 2.016e+11 1.000e-20 +2.015e+11 4.407e+03 9.996e-01 
2.2500e-02 4.369e+03 4.226e+03 1.422e+02 +4.274e+03 +1.013e+02 1.047e+01 1.269e+33 1.271e+05 2.031e+11 1.000e-20 +2.031e+11 4.274e+03 9.995e-01 
2.3104e-02 4.234e+03 4.095e+03 1.399e+02 +4.146e+03 +9.538e+01 1.042e+01 1.213e+33 1.276e+05 2.046e+11 1.000e-20 +2.045e+11 4.146e+03 9.995e-01 
2.3716e-02 4.106e+03 3.968e+03 1.377e+02 +4.023e+03 +8.985e+01 1.037e+01 1.159e+33 1.281e+05 2.061e+11 1.000e-20 +2.060e+11 4.023e+03 9.996e-01 
2.4336e-02 3.982e+03 3.847e+03 1.356e+02 +3.904e+03 +8.472e+01 1.031e+01 1.108e+33 1.285e+05 2.075e+11 1.000e-20 +2.074e+11 3.904e+03 9.996e-01 
2.4964e-02 3.863e+03 3.730e+03 1.335e+02 +3.790e+03 +7.995e+01 1.026e+01 1.060e+33 1.289e+05 2.088e+11 1.001e-20 +2.088e+11 3.790e+03 9.997e-01 
2.5600e-02 3.749e+03 3.618e+03 1.314e+02 +3.681e+03 +7.551e+01 1.020e+01 1.014e+33 1.293e+05 2.101e+11 1.115e-20 +2.101e+11 3.681e+03 9.997e-01 
2.6244e-02 3.639e+03 3.510e+03 1.294e+02 +3.575e+03 +7.138e+01 1.015e+01 9.709e+32 1.297e+05 2.114e+11 8.202e-20 +2.114e+11 3.575e+03 9.998e-01 
2.6896e-02 3.534e+03 3.406e+03 1.275e+02 +3.473e+03 +6.752e+01 1.009e+01 9.297e+32 1.301e+05 2.126e+11 3.433e-18 +2.126e+11 3.473e+03 9.999e-01 
2.7556e-02 3.432e+03 3.306e+03 1.256e+02 +3.375e+03 +6.392e+01 1.004e+01 8.906e+32 1.304e+05 2.138e+11 1.260e-16 +2.138e+11 3.375e+03 9.999e-01 
2.8224e-02 3.334e+03 3.210e+03 1.237e+02 +3.280e+03 +6.055e+01 9.979e+00 8.534e+32 1.308e+05 2.149e+11 3.667e-15 +2.149e+11 3.280e+03 1.000e+00 
2.8900e-02 3.239e+03 3.118e+03 1.219e+02 +3.189e+03 +5.740e+01 9.924e+00 8.181e+32 1.311e+05 2.160e+11 8.596e-14 +2.160e+11 3.189e+03 1.000e+00 
2.9584e-02 3.148e+03 3.028e+03 1.201e+02 +3.101e+03 +5.445e+01 9.868e+00 7.844e+32 1.314e+05 2.170e+11 1.651e-12 +2.171e+11 3.101e+03 1.000e+00 
3.0276e-02 3.061e+03 2.942e+03 1.184e+02 +3.016e+03 +5.169e+01 9.812e+00 7.524e+32 1.317e+05 2.180e+11 2.637e-11 +2.181e+11 3.016e+03 1.000e+00 
3.0976e-02 2.976e+03 2.859e+03 1.166e+02 +2.934e+03 +4.909e+01 9.756e+00 7.219e+32 1.320e+05 2.190e+11 3.554e-10 +2.190e+11 2.934e+03 1.000e+00 
3.1684e-02 2.894e+03 2.779e+03 1.150e+02 +2.855e+03 +4.665e+01 9.700e+00 6.929e+32 1.323e+05 2.199e+11 4.093e-09 +2.199e+11 2.855e+03 1.000e+00 
3.2400e-02 2.816e+03 2.702e+03 1.133e+02 +2.778e+03 +4.436e+01 9.644e+00 6.652e+32 1.325e+05 2.208e+11 4.075e-08 +2.208e+11 2.778e+03 1.000e+00 
3.3124e-02 2.740e+03 2.628e+03 1.117e+02 +2.704e+03 +4.220e+01 9.588e+00 6.389e+32 1.328e+05 2.216e+11 3.545e-07 +2.216e+11 2.704e+03 1.000e+00 
3.3856e-02 2.666e+03 2.556e+03 1.102e+02 +2.633e+03 +4.017e+01 9.531e+00 6.137e+32 1.330e+05 2.224e+11 2.720e-06 +2.224e+11 2.633e+03 1.000e+00 
3.4596e-02 2.595e+03 2.487e+03 1.086e+02 +2.564e+03 +3.825e+01 9.475e+00 5.897e+32 1.333e+05 2.231e+11 1.858e-05 +2.231e+11 2.564e+03 1.000e+00 
3.5344e-02 2.527e+03 2.419e+03 1.071e+02 +2.497e+03 +3.644e+01 9.419e+00 5.668e+32 1.335e+05 2.238e+11 1.139e-04 +2.238e+11 2.497e+03 1.000e+00 
3.6100e-02 2.460e+03 2.355e+03 1.056e+02 +2.432e+03 +3.473e+01 9.362e+00 5.450e+32 1.337e+05 2.245e+11 6.311e-04 +2.245e+11 2.432e+03 9.999e-01 
3.6864e-02 2.396e+03 2.292e+03 1.042e+02 +2.370e+03 +3.312e+01 9.306e+00 5.241e+32 1.339e+05 2.252e+11 3.184e-03 +2.251e+11 2.370e+03 9.999e-01 
3.7636e-02 2.334e+03 2.231e+03 1.028e+02 +2.309e+03 +3.159e+01 9.250e+00 5.041e+32 1.340e+05 2.257e+11 1.471e-02 +2.257e+11 2.309e+03 9.999e-01 
3.8416e-02 2.274e+03 2.173e+03 1.014e+02 +2.251e+03 +3.015e+01 9.193e+00 4.851e+32 1.342e+05 2.263e+11 6.263e-02 +2.263e+11 2.251e+03 9.999e-01 
3.9204e-02 2.216e+03 2.116e+03 9.999e+01 +2.194e+03 +2.878e+01 9.137e+00 4.669e+32 1.344e+05 2.268e+11 2.470e-01 +2.268e+11 2.194e+03 9.999e-01 
4.0000e-02 2.160e+03 2.061e+03 9.864e+01 +2.139e+03 +2.748e+01 9.080e+00 4.494e+32 1.345e+05 2.273e+11 9.068e-01 +2.273e+11 2.139e+03 9.999e-01 
4.0804e-02 2.105e+03 2.008e+03 9.733e+01 +2.086e+03 +2.625e+01 9.024e+00 4.328e+32 1.346e+05 2.278e+11 3.113e+00 +2.278e+11 2.086e+03 9.999e-01 
4.1616e-02 2.052e+03 1.956e+03 9.603e+01 +2.034e+03 +2.508e+01 8.968e+00 4.168e+32 1.348e+05 2.282e+11 1.004e+01 +2.282e+11 2.034e+03 9.999e-01 
4.2436e-02 2.001e+03 1.906e+03 9.476e+01 +1.984e+03 +2.397e+01 8.911e+00 4.015e+32 1.349e+05 2.286e+11 3.050e+01 +2.286e+11 1.984e+03 1.000e+00 
4.3264e-02 1.952e+03 1.858e+03 9.352e+01 +1.936e+03 +2.292e+01 8.855e+00 3.869e+32 1.350e+05 2.289e+11 8.769e+01 +2.289e+11 1.936e+03 1.000e+00 
4.4100e-02 1.904e+03 1.811e+03 9.229e+01 +1.889e+03 +2.192e+01 8.799e+00 3.729e+32 1.351e+05 2.292e+11 2.394e+02 +2.292e+11 1.889e+03 1.000e+00 
4.4944e-02 1.857e+03 1.766e+03 9.109e+01 +1.843e+03 +2.097e+01 8.742e+00 3.594e+32 1.351e+05 2.295e+11 6.222e+02 +2.295e+11 1.843e+03 1.000e+00 
4.5796e-02 1.812e+03 1.722e+03 8.991e+01 +1.799e+03 +2.006e+01 8.686e+00 3.466e+32 1.352e+05 2.298e+11 1.545e+03 +2.298e+11 1.799e+03 1.000e+00 
4.6656e-02 1.768e+03 1.679e+03 8.875e+01 +1.756e+03 +1.920e+01 8.630e+00 3.342e+32 1.353e+05 2.300e+11 3.671e+03 +2.300e+11 1.756e+03 1.000e+00 
4.7524e-02 1.726e+03 1.638e+03 8.762e+01 +1.714e+03 +1.838e+01 8.574e+00 3.224e+32 1.353e+05 2.302e+11 8.378e+03 +2.302e+11 1.714e+03 1.000e+00 
4.8400e-02 1.684e+03 1.598e+03 8.650e+01 +1.674e+03 +1.760e+01 8.518e+00 3.110e+32 1.354e+05 2.303e+11 1.839e+04 +2.303e+11 1.674e+03 1.000e+00 
4.9284e-02 1.644e+03 1.559e+03 8.540e+01 +1.634e+03 +1.685e+01 8.462e+00 3.001e+32 1.354e+05 2.305e+11 3.894e+04 +2.305e+11 1.634e+03 1.000e+00 
5.0176e-02 1.605e+03 1.521e+03 8.432e+01 +1.596e+03 +1.614e+01 8.406e+00 2.897e+32 1.355e+05 2.306e+11 7.966e+04 +2.306e+11 1.596e+03 1.000e+00 
5.1076e-02 1.568e+03 1.484e+03 8.325e+01 +1.559e+03 +1.546e+01 8.350e+00 2.796e+32 1.355e+05 2.306e+11 1.577e+05 +2.306e+11 1.559e+03 1.000e+00 
5.1984e-02 1.531e+03 1.449e+03 8.221e+01 +1.523e+03 +1.481e+01 8.295e+00 2.700e+32 1.355e+05 2.307e+11 3.029e+05 +2.307e+11 1.523e+03 1.000e+00 
5.2900e-02 1.495e+03 1.414e+03 8.118e+01 +1.488e+03 +1.419e+01 8.239e+00 2.607e+32 1.355e+05 2.307e+11 5.649e+05 +2.307e+11 1.488e+03 1.000e+00 
5.3824e-02 1.461e+03 1.380e+03 8.017e+01 +1.454e+03 +1.360e+01 8.184e+00 2.519e+32 1.355e+05 2.307e+11 1.025e+06 +2.306e+11 1.454e+03 1.000e+00 
5.4756e-02 1.427e+03 1.348e+03 7.918e+01 +1.421e+03 +1.303e+01 8.128e+00 2.433e+32 1.355e+05 2.306e+11 1.810e+06 +2.306e+11 1.421e+03 1.000e+00 
5.5696e-02 1.394e+03 1.316e+03 7.820e+01 +1.389e+03 +1.249e+01 8.073e+00 2.351e+32 1.354e+05 2.305e+11 3.118e+06 +2.305e+11 1.389e+03 1.000e+00 
