Diffusion Coefficient [cm^2/s]
0.5040000028 0.00072824880174504 0.000762270421611238 0.000855670248015946
0.5180000028 0.000731353568736657 0.000764344216841926 0.000857332121643847
0.5320000028 0.000734787167897007 0.00076647388532419 0.000858145871833672
0.5460000028 0.000737712379420858 0.00076865050655334 0.000860305505464584
0.5600000028 0.000740349324136194 0.000770796927217803 0.00086673504828779
0.5740000028 0.00074267948068846 0.000772893340334819 0.000872724613870207
0.5880000028 0.000744471326162716 0.000774879441467406 0.000875169399371138
0.6020000028 0.000746063208306176 0.000776733374904963 0.000876077425003557
0.6160000028 0.000747118292287122 0.000778421924912873 0.00087845229004814
0.6300000028 0.000748256594552844 0.000779936316885397 0.000882351054301405
0.6440000028 0.000749405989525818 0.000781320543273877 0.000886797616907236
0.6580000028 0.000750426451252811 0.000782580568637863 0.000890780131257649
0.6720000028 0.000751597092828182 0.000783737113230615 0.000892089770738886
0.6860000028 0.00075242376743036 0.000784802097073155 0.000893046744449638
0.7000000028 0.000753024319462058 0.000785739496917698 0.000894980961871709
0.7140000028 0.000754424543246342 0.000786605920550061 0.00089600089220752
0.7280000028 0.000755865237340516 0.000787482103717215 0.000894848486423988
0.7420000028 0.000756425932557274 0.000788299262647136 0.000893215546309894
0.7560000028 0.000756740574683666 0.000789008439316948 0.000892798338205633
0.7700000028 0.000756814463142209 0.000789599358489123 0.000890800315505524
0.7840000028 0.00075682268167706 0.000790065015400942 0.000890762941167467
0.7980000028 0.000757278690900516 0.000790443085406458 0.000897252425871896
0.8120000028 0.000757980037655525 0.000790787888600474 0.000902844686522512
0.8260000028 0.000758780590896145 0.000791114950966389 0.00090385834211718
0.8400000028 0.000759500533024752 0.000791434797356393 0.000903066488929345
0.8540000028 0.000759949104836107 0.000791729200137975 0.000905393317471032
0.8680000028 0.000760390014203898 0.00079198217536652 0.000909639954480071
0.8820000028 0.000761631752163265 0.000792240180029996 0.000911416172620488
0.8960000028 0.000763558027017388 0.000792580540301849 0.000911466239350888
0.9100000028 0.000765278393669272 0.00079302400631013 0.000913102015318015
0.9240000028 0.000766004683273613 0.000793498918639846 0.00091457612292544
0.9380000028 0.00076703188010826 0.000793959203636296 0.000918082013760131
0.9520000028 0.000768846453947152 0.000794475483305135 0.000921629850451693
0.9660000028 0.000770470418387301 0.000795066940767581 0.000922746857652316
0.9800000028 0.000771807922138085 0.000795703112877106 0.000921220758099692
0.9940000028 0.0007729235216859 0.000796362263214578 0.000919191715859868
1.0080000028 0.000773302448740222 0.000797003235629556 0.000918524076952337
1.0220000028 0.000773427330447556 0.00079758105802384 0.000919142708592394
