 # atomic units 
 #
 # material = aluminum                
 # nfraction =    1.00000000000000     
 # Zbar =    2.88446135661227     
 #
 # screening length =  0.962582901574277     
# r     (v(i,j),j=i,nspecies, i=1,nspecies)     (dv/dr(i,j),j=i,nspecies, i=1,nspecies)
        0.11100626747E+001        0.11738194271E+002       -0.18303601987E+002
        0.11173657186E+001        0.11605445629E+002       -0.18046720136E+002
        0.11246687625E+001        0.11474589920E+002       -0.17794770902E+002
        0.11319718064E+001        0.11345522033E+002       -0.17547626719E+002
        0.11392748503E+001        0.11218275989E+002       -0.17305164025E+002
        0.11465778943E+001        0.11092750260E+002       -0.17067263322E+002
        0.11538809382E+001        0.10968978868E+002       -0.16833808794E+002
        0.11611839821E+001        0.10846863688E+002       -0.16604688397E+002
        0.11684870260E+001        0.10726438701E+002       -0.16379793495E+002
        0.11757900699E+001        0.10607609015E+002       -0.16159018938E+002
        0.11830931138E+001        0.10490408532E+002       -0.15942262762E+002
        0.11903961577E+001        0.10374745435E+002       -0.15729426198E+002
        0.11976992016E+001        0.10260653512E+002       -0.15520413459E+002
        0.12050022456E+001        0.10148043875E+002       -0.15315131727E+002
        0.12123052895E+001        0.10036950166E+002       -0.15113490930E+002
        0.12196083334E+001        0.99272862854E+001       -0.14915403784E+002
        0.12269113773E+001        0.98190857059E+001       -0.14720785528E+002
        0.12342144212E+001        0.97122649857E+001       -0.14529554018E+002
        0.12415174651E+001        0.96068574021E+001       -0.14341629452E+002
        0.12488205090E+001        0.95027820497E+001       -0.14156934452E+002
        0.12561235529E+001        0.94000719900E+001       -0.13975393839E+002
        0.12634265969E+001        0.92986487384E+001       -0.13796934677E+002
        0.12707296408E+001        0.91985451224E+001       -0.13621486083E+002
        0.12780326847E+001        0.90996849701E+001       -0.13448979284E+002
        0.12853357286E+001        0.90021008582E+001       -0.13279347393E+002
        0.12926387725E+001        0.89057188258E+001       -0.13112525510E+002
        0.12999418164E+001        0.88105711850E+001       -0.12948450499E+002
        0.13072448603E+001        0.87165860894E+001       -0.12787061062E+002
        0.13145479042E+001        0.86237955745E+001       -0.12628297566E+002
        0.13218509482E+001        0.85321298175E+001       -0.12472102099E+002
        0.13291539921E+001        0.84416205663E+001       -0.12318418285E+002
        0.13364570360E+001        0.83521999367E+001       -0.12167191372E+002
        0.13437600799E+001        0.82638993799E+001       -0.12018368051E+002
        0.13510631238E+001        0.81766528689E+001       -0.11871896527E+002
        0.13583661677E+001        0.80904915507E+001       -0.11727726348E+002
        0.13656692116E+001        0.80053511789E+001       -0.11585808491E+002
        0.13729722555E+001        0.79212625899E+001       -0.11446095191E+002
        0.13802752995E+001        0.78381632454E+001       -0.11308540021E+002
        0.13875783434E+001        0.77560836656E+001       -0.11173097728E+002
        0.13948813873E+001        0.76749629520E+001       -0.11039724327E+002
        0.14021844312E+001        0.75948313041E+001       -0.10908376919E+002
        0.14094874751E+001        0.75156293983E+001       -0.10779013804E+002
        0.14167905190E+001        0.74373871097E+001       -0.10651594312E+002
        0.14240935629E+001        0.73600466278E+001       -0.10526078875E+002
        0.14313966068E+001        0.72836375011E+001       -0.10402428906E+002
        0.14386996508E+001        0.72081033734E+001       -0.10280606869E+002
        0.14460026947E+001        0.71334734643E+001       -0.10160576119E+002
        0.14533057386E+001        0.70596928170E+001       -0.10042301014E+002
        0.14606087825E+001        0.69867903209E+001       -0.99257467662E+001
        0.14679118264E+001        0.69147123653E+001       -0.98108795090E+001
        0.14752148703E+001        0.68434875089E+001       -0.96976661772E+001
        0.14825179142E+001        0.67730634371E+001       -0.95860745993E+001
        0.14898209581E+001        0.67034683776E+001       -0.94760733390E+001
        0.14971240021E+001        0.66346512643E+001       -0.93676317929E+001
        0.15044270460E+001        0.65666399940E+001       -0.92607200734E+001
        0.15117300899E+001        0.64993847037E+001       -0.91553090697E+001
        0.15190331338E+001        0.64329129604E+001       -0.90513703322E+001
        0.15263361777E+001        0.63671760608E+001       -0.89488761669E+001
        0.15336392216E+001        0.63022012428E+001       -0.88477994804E+001
        0.15409422655E+001        0.62379409222E+001       -0.87481139049E+001
        0.15482453094E+001        0.61744220090E+001       -0.86497936491E+001
        0.15555483534E+001        0.61115979986E+001       -0.85528135838E+001
        0.15628513973E+001        0.60494954754E+001       -0.84571491337E+001
        0.15701544412E+001        0.59880689767E+001       -0.83627763589E+001
        0.15774574851E+001        0.59273447630E+001       -0.82696718289E+001
        0.15847605290E+001        0.58672783781E+001       -0.81778127245E+001
        0.15920635729E+001        0.58078957612E+001       -0.80871766990E+001
        0.15993666168E+001        0.57491534279E+001       -0.79977419833E+001
        0.16066696607E+001        0.56910769987E+001       -0.79094872660E+001
        0.16139727047E+001        0.56336239288E+001       -0.78223917765E+001
        0.16212757486E+001        0.55768195223E+001       -0.77364351719E+001
