# atomic units
# Peak of g_ii(r) =   1.41
# Effective coupling: Gamma_ii=    27.4
#              r                  (g(i,j),j=i,nspecies, i=1,nspecies)
  1.86957924159E+00    1.37223565844E-13
  1.87688228551E+00    1.92734717075E-13
  1.88418532942E+00    2.69673172681E-13
  1.89148837333E+00    3.76032538441E-13
  1.89879141724E+00    5.22248910784E-13
  1.90609446116E+00    7.22866211333E-13
  1.91339750507E+00    9.96869253811E-13
  1.92070054898E+00    1.37012623469E-12
  1.92800359289E+00    1.87649895622E-12
  1.93530663681E+00    2.56139554011E-12
  1.94260968072E+00    3.48399087358E-12
  1.94991272463E+00    4.72377692518E-12
  1.95721576854E+00    6.38278319087E-12
  1.96451881246E+00    8.59723403579E-12
  1.97182185637E+00    1.15412124302E-11
  1.97912490028E+00    1.54455337409E-11
  1.98642794419E+00    2.06032968464E-11
  1.99373098811E+00    2.74001932254E-11
  2.00103403202E+00    3.63232777190E-11
  2.00833707593E+00    4.80098183431E-11
  2.01564011984E+00    6.32582874971E-11
  2.02294316376E+00    8.31089641551E-11
  2.03024620767E+00    1.08855591208E-10
  2.03754925158E+00    1.42175271556E-10
  2.04485229549E+00    1.85139126252E-10
  2.05215533941E+00    2.40419573139E-10
  2.05945838332E+00    3.11293768540E-10
  2.06676142723E+00    4.01971123054E-10
  2.07406447114E+00    5.17577536385E-10
  2.08136751506E+00    6.64669208561E-10
  2.08867055897E+00    8.51174020156E-10
  2.09597360288E+00    1.08719100389E-09
  2.10327664679E+00    1.38484745893E-09
  2.11057969071E+00    1.75953218662E-09
  2.11788273462E+00    2.22959672946E-09
  2.12518577853E+00    2.81824374948E-09
  2.13248882244E+00    3.55295148857E-09
  2.13979186636E+00    4.46834258483E-09
  2.14709491027E+00    5.60513679915E-09
  2.15439795418E+00    7.01447566698E-09
  2.16170099809E+00    8.75609174056E-09
  2.16900404201E+00    1.09047791907E-08
  2.17630708592E+00    1.35472927321E-08
  2.18361012983E+00    1.67919584904E-08
  2.19091317374E+00    2.07635545424E-08
  2.19821621766E+00    2.56174833568E-08
  2.20551926157E+00    3.15315025201E-08
  2.21282230548E+00    3.87264782464E-08
  2.22012534939E+00    4.74532775296E-08
  2.22742839331E+00    5.80229506664E-08
  2.23473143722E+00    7.07863017091E-08
  2.24203448113E+00    8.61774851479E-08
  2.24933752504E+00    1.04682647328E-07
  2.25664056896E+00    1.26902479414E-07
  2.26394361287E+00    1.53504751133E-07
  2.27124665678E+00    1.85313466683E-07
  2.27854970069E+00    2.23237945352E-07
  2.28585274461E+00    2.68399061198E-07
  2.29315578852E+00    3.22024554578E-07
  2.30045883243E+00    3.85626625188E-07
  2.30776187634E+00    4.60849138628E-07
  2.31506492026E+00    5.49715861276E-07
  2.32236796417E+00    6.54409839540E-07
  2.32967100808E+00    7.77618170744E-07
  2.33697405199E+00    9.22216673693E-07
  2.34427709591E+00    1.09174572926E-06
  2.35158013982E+00    1.28996392879E-06
  2.35888318373E+00    1.52150073296E-06
  2.36618622764E+00    1.79123047694E-06
  2.37348927156E+00    2.10516204091E-06
  2.38079231547E+00    2.46956867134E-06
  2.38809535938E+00    2.89219333383E-06
  2.39539840329E+00    3.38104937070E-06
  2.40270144721E+00    3.94604370879E-06
  2.41000449112E+00    4.59733733182E-06
  2.41730753503E+00    5.34751816872E-06
  2.42461057894E+00    6.20937746676E-06
  2.43191362286E+00    7.19880137634E-06
  2.43921666677E+00    8.33177804649E-06
  2.44651971068E+00    9.62822320150E-06
  2.45382275459E+00    1.11079814648E-05
