 # material = aluminum                
 # eff mass density (g/cc) =    2.70000000000000     
 # Zbar =    2.88757004311296     
#            r(a_B)                    ne_pa                     ne_scr                    ne_ion                    nefull                    neext 
        0.41991112940E-003        0.52096664667E+006        0.72971430902E+001        0.52095934952E+006        0.52096664814E+006        0.14733948206E-002
        0.42861371949E-003        0.50517325570E+006        0.72222893224E+001        0.50516603341E+006        0.50517325717E+006        0.14733954659E-002
        0.43740556693E-003        0.49001143536E+006        0.71489566569E+001        0.49000428640E+006        0.49001143683E+006        0.14733961174E-002
        0.44628667169E-003        0.47544992905E+006        0.70770990597E+001        0.47544285195E+006        0.47544993052E+006        0.14733967751E-002
        0.45525703379E-003        0.46145931829E+006        0.70066723413E+001        0.46145231162E+006        0.46145931977E+006        0.14733974390E-002
        0.46431665323E-003        0.44801189785E+006        0.69376340611E+001        0.44800496021E+006        0.44801189932E+006        0.14733981092E-002
        0.47346553000E-003        0.43508156040E+006        0.68699434460E+001        0.43507469046E+006        0.43508156188E+006        0.14733987854E-002
        0.48270366410E-003        0.42264369009E+006        0.68035613049E+001        0.42263688653E+006        0.42264369157E+006        0.14733994679E-002
        0.49203105554E-003        0.41067506402E+006        0.67384499565E+001        0.41066832557E+006        0.41067506550E+006        0.14734001565E-002
        0.50144770432E-003        0.39915376117E+006        0.66745731534E+001        0.39914708660E+006        0.39915376264E+006        0.14734008513E-002
        0.51095361042E-003        0.38805907801E+006        0.66118960175E+001        0.38805246612E+006        0.38805907949E+006        0.14734015521E-002
        0.52054877386E-003        0.37737145038E+006        0.65503849744E+001        0.37736489999E+006        0.37737145185E+006        0.14734022591E-002
        0.53023319464E-003        0.36707238093E+006        0.64900076927E+001        0.36706589093E+006        0.36707238241E+006        0.14734029723E-002
        0.54000687275E-003        0.35714437195E+006        0.64307330274E+001        0.35713794122E+006        0.35714437343E+006        0.14734036915E-002
        0.54986980819E-003        0.34757086283E+006        0.63725309671E+001        0.34756449030E+006        0.34757086430E+006        0.14734044167E-002
        0.55982200097E-003        0.33833617206E+006        0.63153725795E+001        0.33832985669E+006        0.33833617353E+006        0.14734051481E-002
        0.56986345109E-003        0.32942544326E+006        0.62592299670E+001        0.32941918403E+006        0.32942544473E+006        0.14734058855E-002
        0.57999415853E-003        0.32082459496E+006        0.62040762181E+001        0.32081839089E+006        0.32082459644E+006        0.14734066289E-002
        0.59021412332E-003        0.31252027387E+006        0.61498853657E+001        0.31251412398E+006        0.31252027534E+006        0.14734073784E-002
        0.60052334543E-003        0.30449981128E+006        0.60966323453E+001        0.30449371465E+006        0.30449981275E+006        0.14734081338E-002
