# atomic units
# Peak of g_ii(r) =   1.16
# Effective coupling: Gamma_ii=     7.9
#              r                  (g(i,j),j=i,nspecies, i=1,nspecies)
  7.78723839898E-01    0.00000000000E+00
  7.82379820368E-01    0.00000000000E+00
  7.86035800837E-01    0.00000000000E+00
  7.89691781306E-01    0.00000000000E+00
  7.93347761775E-01    0.00000000000E+00
  7.97003742244E-01    0.00000000000E+00
  8.00659722713E-01    0.00000000000E+00
  8.04315703182E-01    0.00000000000E+00
  8.07971683651E-01    0.00000000000E+00
  8.11627664120E-01    0.00000000000E+00
  8.15283644589E-01    0.00000000000E+00
  8.18939625058E-01    0.00000000000E+00
  8.22595605527E-01    0.00000000000E+00
  8.26251585996E-01    0.00000000000E+00
  8.29907566465E-01    0.00000000000E+00
  8.33563546934E-01    0.00000000000E+00
  8.37219527403E-01    0.00000000000E+00
  8.40875507872E-01    0.00000000000E+00
  8.44531488341E-01    0.00000000000E+00
  8.48187468810E-01    0.00000000000E+00
  8.51843449279E-01    0.00000000000E+00
  8.55499429748E-01    0.00000000000E+00
  8.59155410217E-01    0.00000000000E+00
  8.62811390686E-01    0.00000000000E+00
  8.66467371155E-01    0.00000000000E+00
  8.70123351624E-01    0.00000000000E+00
  8.73779332093E-01    0.00000000000E+00
  8.77435312562E-01    0.00000000000E+00
  8.81091293031E-01    0.00000000000E+00
  8.84747273500E-01    0.00000000000E+00
  8.88403253969E-01    0.00000000000E+00
  8.92059234438E-01    0.00000000000E+00
  8.95715214907E-01    0.00000000000E+00
  8.99371195376E-01    0.00000000000E+00
  9.03027175845E-01    0.00000000000E+00
  9.06683156314E-01    0.00000000000E+00
  9.10339136783E-01    0.00000000000E+00
  9.13995117252E-01    0.00000000000E+00
  9.17651097721E-01    0.00000000000E+00
  9.21307078190E-01    0.00000000000E+00
  9.24963058659E-01    0.00000000000E+00
  9.28619039128E-01    0.00000000000E+00
  9.32275019597E-01    0.00000000000E+00
  9.35931000066E-01    0.00000000000E+00
  9.39586980535E-01    0.00000000000E+00
  9.43242961004E-01    0.00000000000E+00
  9.46898941473E-01    0.00000000000E+00
  9.50554921942E-01    0.00000000000E+00
  9.54210902411E-01    0.00000000000E+00
  9.57866882880E-01    0.00000000000E+00
  9.61522863349E-01    0.00000000000E+00
  9.65178843818E-01    0.00000000000E+00
  9.68834824287E-01    0.00000000000E+00
  9.72490804756E-01    0.00000000000E+00
  9.76146785225E-01    0.00000000000E+00
  9.79802765694E-01    0.00000000000E+00
  9.83458746163E-01    0.00000000000E+00
  9.87114726632E-01    0.00000000000E+00
  9.90770707101E-01    0.00000000000E+00
  9.94426687570E-01    0.00000000000E+00
  9.98082668039E-01    0.00000000000E+00
  1.00173864851E+00    0.00000000000E+00
  1.00539462898E+00    0.00000000000E+00
  1.00905060945E+00    0.00000000000E+00
  1.01270658991E+00    0.00000000000E+00
  1.01636257038E+00    0.00000000000E+00
  1.02001855085E+00    0.00000000000E+00
  1.02367453132E+00    0.00000000000E+00
  1.02733051179E+00    0.00000000000E+00
  1.03098649226E+00    1.11022302463E-16
  1.03464247273E+00    1.11022302463E-16
  1.03829845320E+00    1.11022302463E-16
  1.04195443367E+00    1.11022302463E-16
  1.04561041414E+00    1.11022302463E-16
  1.04926639461E+00    2.22044604925E-16
  1.05292237507E+00    2.22044604925E-16
  1.05657835554E+00    3.33066907388E-16
  1.06023433601E+00    3.33066907388E-16
  1.06389031648E+00    4.44089209850E-16
  1.06754629695E+00    5.55111512313E-16
  1.07120227742E+00    7.77156117238E-16
  1.07485825789E+00    8.88178419700E-16
  1.07851423836E+00    1.11022302463E-15
  1.08217021883E+00    1.44328993201E-15
  1.08582619930E+00    1.77635683940E-15
  1.08948217976E+00    2.22044604925E-15
  1.09313816023E+00    2.66453525910E-15
  1.09679414070E+00    3.33066907388E-15
  1.10045012117E+00    3.99680288865E-15
  1.10410610164E+00    4.99600361081E-15
  1.10776208211E+00    6.10622663544E-15
  1.11141806258E+00    7.43849426499E-15
  1.11507404305E+00    8.99280649946E-15
  1.11873002352E+00    1.09912079438E-14
  1.12238600399E+00    1.34336985980E-14
  1.12604198445E+00    1.63202784620E-14
  1.12969796492E+00    1.97619698383E-14
  1.13335394539E+00    2.39808173319E-14
  1.13700992586E+00    2.89768209427E-14
