 # atomic units 
 #
 # material = aluminum                
 # nfraction =    1.00000000000000     
 # Zbar =    4.35322408794477     
 #
 # screening length =   1.57153029298550     
# r     (v(i,j),j=i,nspecies, i=1,nspecies)     (dv/dr(i,j),j=i,nspecies, i=1,nspecies)
        0.49355736332E+000        0.31909361280E+002       -0.75008557381E+002
        0.49721334378E+000        0.31637145285E+002       -0.73911393727E+002
        0.50086932425E+000        0.31368894897E+002       -0.72839110496E+002
        0.50452530472E+000        0.31104520264E+002       -0.71791001213E+002
        0.50818128519E+000        0.30843934446E+002       -0.70766384187E+002
        0.51183726566E+000        0.30587052580E+002       -0.69764601340E+002
        0.51549324613E+000        0.30333792536E+002       -0.68785017100E+002
        0.51914922660E+000        0.30084074104E+002       -0.67827017356E+002
        0.52280520707E+000        0.29837819640E+002       -0.66890008474E+002
        0.52646118754E+000        0.29594953282E+002       -0.65973416364E+002
        0.53011716801E+000        0.29355401578E+002       -0.65076685602E+002
        0.53377314848E+000        0.29119092734E+002       -0.64199278604E+002
        0.53742912894E+000        0.28885957226E+002       -0.63340674839E+002
        0.54108510941E+000        0.28655927069E+002       -0.62500370094E+002
        0.54474108988E+000        0.28428936424E+002       -0.61677875776E+002
        0.54839707035E+000        0.28204920884E+002       -0.60872718253E+002
        0.55205305082E+000        0.27983818067E+002       -0.60084438231E+002
        0.55570903129E+000        0.27765566933E+002       -0.59312590167E+002
        0.55936501176E+000        0.27550108353E+002       -0.58556741719E+002
        0.56302099223E+000        0.27337384451E+002       -0.57816473215E+002
        0.56667697270E+000        0.27127339166E+002       -0.57091377164E+002
        0.57033295317E+000        0.26919917604E+002       -0.56381057782E+002
        0.57398893363E+000        0.26715066596E+002       -0.55685130555E+002
        0.57764491410E+000        0.26512734064E+002       -0.55003221818E+002
        0.58130089457E+000        0.26312869566E+002       -0.54334968355E+002
        0.58495687504E+000        0.26115423686E+002       -0.53680017032E+002
        0.58861285551E+000        0.25920348561E+002       -0.53038024435E+002
        0.59226883598E+000        0.25727597289E+002       -0.52408656540E+002
        0.59592481645E+000        0.25537124447E+002       -0.51791588389E+002
        0.59958079692E+000        0.25348885513E+002       -0.51186503789E+002
        0.60323677739E+000        0.25162837372E+002       -0.50593095026E+002
        0.60689275786E+000        0.24978937757E+002       -0.50011062596E+002
        0.61054873832E+000        0.24797145740E+002       -0.49440114939E+002
        0.61420471879E+000        0.24617421188E+002       -0.48879968199E+002
        0.61786069926E+000        0.24439725247E+002       -0.48330345989E+002
        0.62151667973E+000        0.24264019808E+002       -0.47790979166E+002
        0.62517266020E+000        0.24090267982E+002       -0.47261605623E+002
        0.62882864067E+000        0.23918433581E+002       -0.46741970082E+002
        0.63248462114E+000        0.23748481578E+002       -0.46231823903E+002
        0.63614060161E+000        0.23580377608E+002       -0.45730924901E+002
        0.63979658208E+000        0.23414088412E+002       -0.45239037168E+002
        0.64345256255E+000        0.23249581352E+002       -0.44755930904E+002
        0.64710854301E+000        0.23086824847E+002       -0.44281382254E+002
        0.65076452348E+000        0.22925787899E+002       -0.43815173158E+002
        0.65442050395E+000        0.22766440521E+002       -0.43357091195E+002
        0.65807648442E+000        0.22608753268E+002       -0.42906929446E+002
        0.66173246489E+000        0.22452697664E+002       -0.42464486354E+002
        0.66538844536E+000        0.22298245742E+002       -0.42029565590E+002
        0.66904442583E+000        0.22145370459E+002       -0.41601975928E+002
        0.67270040630E+000        0.21994045249E+002       -0.41181531120E+002
