Diffusion Coefficient [cm^2/s]
2.5480000028 0.00028666821382197 0.000289852139691481 0.000204655031355479
2.5760000028 0.000287091588564325 0.000289832198200716 0.000204685698279649
2.6040000028 0.000286906843352497 0.000289810795083926 0.000202496636225996
2.6320000028 0.000287171378824186 0.0002898017423221 0.000204435890559952
2.6600000028 0.000287258818046518 0.000289804430871871 0.000202719934825678
2.6880000028 0.000287226634474959 0.000289788803907301 0.000196515959610229
2.7160000028 0.000287830117567983 0.000289815019934237 0.0002012035351428
2.7440000028 0.000287855201241167 0.000289850786107815 0.000199857583380522
2.7720000028 0.000287780986864371 0.000289868741483297 0.000204290383573454
2.8000000028 0.0002879442199044 0.000289892214452332 0.000196715501611853
