# Time-correlated data for fix SS
# Timestep Number-of-time-windows
# Index TimeDelta Ncount v_pxy*v_pxy v_pxz*v_pxz v_pyz*v_pyz
11000 200
3 10 381 1.40992e+07 7.48225e+06 2.77207e+06
4 15 380 1.41174e+07 7.48824e+06 2.76528e+06
5 20 379 1.41313e+07 7.49191e+06 2.75807e+06
6 25 378 1.41412e+07 7.49324e+06 2.75046e+06
7 30 377 1.41468e+07 7.49225e+06 2.74245e+06
8 35 376 1.41483e+07 7.48893e+06 2.73406e+06
9 40 375 1.41455e+07 7.48327e+06 2.72529e+06
10 45 374 1.41386e+07 7.4753e+06 2.71615e+06
11 50 373 1.41276e+07 7.46501e+06 2.70665e+06
12 55 372 1.41124e+07 7.45242e+06 2.69681e+06
13 60 371 1.4093e+07 7.43754e+06 2.68663e+06
14 65 370 1.40695e+07 7.42037e+06 2.67614e+06
15 70 369 1.40419e+07 7.40095e+06 2.66534e+06
16 75 368 1.40102e+07 7.37929e+06 2.65425e+06
17 80 367 1.39744e+07 7.35541e+06 2.64288e+06
18 85 366 1.39346e+07 7.32932e+06 2.63123e+06
19 90 365 1.38908e+07 7.30107e+06 2.61934e+06
20 95 364 1.3843e+07 7.27067e+06 2.6072e+06
21 100 363 1.37913e+07 7.23816e+06 2.59484e+06
22 105 362 1.37358e+07 7.20356e+06 2.58227e+06
23 110 361 1.36764e+07 7.16691e+06 2.56949e+06
24 115 360 1.36133e+07 7.12824e+06 2.55654e+06
25 120 359 1.35464e+07 7.08759e+06 2.54342e+06
26 125 358 1.34759e+07 7.04501e+06 2.53014e+06
27 130 357 1.34017e+07 7.00055e+06 2.51673e+06
28 135 356 1.33241e+07 6.95423e+06 2.50318e+06
29 140 355 1.32429e+07 6.90611e+06 2.48953e+06
30 145 354 1.31584e+07 6.85625e+06 2.47579e+06
31 150 353 1.30705e+07 6.80466e+06 2.46197e+06
32 155 352 1.29794e+07 6.75142e+06 2.44809e+06
33 160 351 1.28852e+07 6.69658e+06 2.43416e+06
34 165 350 1.27878e+07 6.64018e+06 2.42021e+06
35 170 349 1.26874e+07 6.58229e+06 2.40624e+06
36 175 348 1.25841e+07 6.52295e+06 2.39228e+06
37 180 347 1.2478e+07 6.46224e+06 2.37834e+06
38 185 346 1.23691e+07 6.4002e+06 2.36443e+06
39 190 345 1.22576e+07 6.33688e+06 2.35057e+06
40 195 344 1.21435e+07 6.27235e+06 2.33678e+06
41 200 343 1.20269e+07 6.20666e+06 2.32307e+06
42 205 342 1.1908e+07 6.1399e+06 2.30945e+06
43 210 341 1.17868e+07 6.07211e+06 2.29596e+06
44 215 340 1.16634e+07 6.00336e+06 2.28262e+06
45 220 339 1.1538e+07 5.9337e+06 2.26942e+06
46 225 338 1.14105e+07 5.86321e+06 2.25639e+06
47 230 337 1.12812e+07 5.79195e+06 2.24354e+06
48 235 336 1.11502e+07 5.71999e+06 2.23088e+06
49 240 335 1.10175e+07 5.64738e+06 2.21842e+06
50 245 334 1.08832e+07 5.57418e+06 2.2062e+06
51 250 333 1.07475e+07 5.50047e+06 2.19421e+06
52 255 332 1.06104e+07 5.4263e+06 2.18248e+06
53 260 331 1.04721e+07 5.35174e+06 2.17102e+06
54 265 330 1.03327e+07 5.27685e+06 2.15985e+06
55 270 329 1.01923e+07 5.2017e+06 2.14898e+06
56 275 328 1.00509e+07 5.12633e+06 2.13843e+06
57 280 327 9.90874e+06 5.05082e+06 2.1282e+06
58 285 326 9.76587e+06 4.97522e+06 2.11832e+06
59 290 325 9.62241e+06 4.89961e+06 2.10879e+06
60 295 324 9.47845e+06 4.82403e+06 2.09963e+06
61 300 323 9.33411e+06 4.74855e+06 2.09085e+06
62 305 322 9.1895e+06 4.67323e+06 2.08246e+06
63 310 321 9.04472e+06 4.59812e+06 2.07448e+06
64 315 320 8.89987e+06 4.52327e+06 2.06692e+06
65 320 319 8.75505e+06 4.44875e+06 2.05978e+06
66 325 318 8.61034e+06 4.3746e+06 2.05308e+06
67 330 317 8.46587e+06 4.30088e+06 2.04683e+06
68 335 316 8.3217e+06 4.22763e+06 2.04104e+06
69 340 315 8.17795e+06 4.15491e+06 2.03571e+06
70 345 314 8.0347e+06 4.08276e+06 2.03086e+06
71 350 313 7.89205e+06 4.01122e+06 2.02649e+06
72 355 312 7.75007e+06 3.94036e+06 2.02261e+06
73 360 311 7.60887e+06 3.8702e+06 2.01922e+06
74 365 310 7.46852e+06 3.80079e+06 2.01635e+06
75 370 309 7.32909e+06 3.73215e+06 2.01397e+06
76 375 308 7.19068e+06 3.66434e+06 2.01209e+06
77 380 307 7.05337e+06 3.59739e+06 2.01072e+06
78 385 306 6.91721e+06 3.53132e+06 2.00986e+06
79 390 305 6.78228e+06 3.46618e+06 2.00954e+06
