# Time-averaged data for fix myRDFav
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
10400 100
53 5.55636 1.07374 45.0776
54 5.66219 1.02154 47.7014
55 5.76803 0.981246 50.3167
56 5.87386 0.945796 52.9309
57 5.9797 0.905225 55.524
58 6.08554 0.872532 58.1126
59 6.19137 0.870843 60.7869
60 6.29721 0.871929 63.5569
61 6.40304 0.884214 66.4611
62 6.50888 0.892218 69.4892
63 6.61471 0.914826 72.6959
64 6.72055 0.948836 76.129
65 6.82638 0.986978 79.8136
66 6.93222 1.00005 83.6635
67 7.03805 1.03468 87.7694
68 7.14389 1.04519 92.0426
69 7.24972 1.06956 96.546
70 7.35556 1.07708 101.214
71 7.4614 1.0793 106.028
72 7.56723 1.07964 110.981
73 7.67307 1.0635 115.997
74 7.7789 1.05771 121.124
75 7.88474 1.04566 126.332
76 7.99057 1.0119 131.508
77 8.09641 0.990931 136.712
78 8.20224 0.984496 142.018
79 8.30808 0.971319 147.389
80 8.41391 0.955738 152.809
81 8.51975 0.948065 158.322
82 8.62559 0.94715 163.967
83 8.73142 0.95267 169.786
84 8.83726 0.962678 175.809
85 8.94309 0.968899 182.016
86 9.04893 0.976343 188.421
87 9.15476 0.987906 195.054
88 9.2606 1.00069 201.929
89 9.36643 1.00798 209.013
90 9.47227 1.01383 216.3
91 9.5781 1.02598 223.84
92 9.68394 1.03015 231.58
93 9.78977 1.04112 239.573
94 9.89561 1.02966 247.65
95 10.0014 1.02303 255.848
96 10.1073 1.01707 264.172
97 10.2131 1.01884 272.685
98 10.319 1.00655 281.271
99 10.4248 1.00369 290.01
100 10.5306 0.997799 298.874
11600 100
1 0.0529177 0 0
2 0.158753 0 0
3 0.264589 0 0
4 0.370424 0 0
5 0.476259 0 0
6 0.582095 0 0
7 0.68793 0 0
8 0.793766 0 0
9 0.899601 0 0
10 1.00544 0 0
11 1.11127 0 0
12 1.21711 0 0
13 1.32294 0 0
14 1.42878 0 0
15 1.53461 0 0
